,date,predict_close,vol,close,Greed_Fear_Score,target_date,percent
0,2022-04-28,0.805,836357358.0,0.844,-46.20853080568711,2022-04-29,0.0
1,2022-04-29,0.7567,874797260.0,0.805,-60.000000000000014,2022-04-30,-4.62
2,2022-04-30,0.7903,868001173.0,0.7567,44.403330249768686,2022-05-01,-6.0
3,2022-05-01,0.7815,928448231.0,0.7903,-11.135012020751653,2022-05-02,4.44
4,2022-05-02,0.7711,805325174.0,0.7815,-13.307741522712687,2022-05-03,-1.11
5,2022-05-03,0.8969,649650331.0,0.7711,163.14356114641424,2022-05-04,-1.33
6,2022-05-04,0.7912,1516023155.0,0.8969,-117.85037350875238,2022-05-05,16.31
7,2022-05-05,0.7834,1802128590.0,0.7912,-9.8584428715875,2022-05-06,-11.79
8,2022-05-06,0.7619,1312283636.0,0.7834,-27.444472810824564,2022-05-07,-0.99
9,2022-05-07,0.7396,801558914.0,0.7619,-29.2689329308308,2022-05-08,-2.74
10,2022-05-08,0.6101,1085127147.0,0.7396,-175.09464575446194,2022-05-09,-2.93
11,2022-05-09,0.629,2306123277.0,0.6101,30.978528110145927,2022-05-10,-17.51
12,2022-05-10,0.5128,2372592084.0,0.629,-184.73767885532587,2022-05-11,3.1
13,2022-05-11,0.4737,2692548110.0,0.5128,-76.24804992199692,2022-05-12,-18.47
14,2022-05-12,0.5289,2798263564.0,0.4737,116.52944901836612,2022-05-13,-7.62
15,2022-05-13,0.5394,1946134960.0,0.5289,19.852524106636327,2022-05-14,11.65
16,2022-05-14,0.5975,1178703676.0,0.5394,107.71227289581024,2022-05-15,1.99
