,date,predict_close,vol,close,Greed_Fear_Score,target_date,percent
0,2022-04-28,0.135,1105137506.0,0.1374,-17.46724890829684,2022-04-29,0.0
1,2022-04-29,0.1276,1555397213.0,0.135,-54.81481481481495,2022-04-30,-1.75
2,2022-04-30,0.1328,916612071.0,0.1276,40.75235109717877,2022-05-01,-5.48
3,2022-05-01,0.1309,991710768.0,0.1328,-14.307228915662748,2022-05-02,4.08
4,2022-05-02,0.1295,769062732.0,0.1309,-10.695187165775284,2022-05-03,-1.43
5,2022-05-03,0.1358,555706527.0,0.1295,48.648648648648646,2022-05-04,-1.07
6,2022-05-04,0.1284,838050627.0,0.1358,-54.49189985272472,2022-05-05,4.86
7,2022-05-05,0.1279,1258066467.0,0.1284,-3.8940809968845222,2022-05-06,-5.45
8,2022-05-06,0.1275,839005988.0,0.1279,-3.1274433150900034,2022-05-07,-0.39
9,2022-05-07,0.1242,746383231.0,0.1275,-25.88235294117645,2022-05-08,-0.31
10,2022-05-08,0.1048,728953161.0,0.1242,-156.19967793880838,2022-05-09,-2.59
11,2022-05-09,0.1085,1353326367.0,0.1048,35.30534351145033,2022-05-10,-15.62
12,2022-05-10,0.08458,1723066438.0,0.1085,-220.46082949308757,2022-05-11,3.53
13,2022-05-11,0.08267,2556008051.0,0.08458,-22.58217072594004,2022-05-12,-22.05
14,2022-05-12,0.08833,2631064083.0,0.08267,68.46498125075617,2022-05-13,-2.26
15,2022-05-13,0.0898,1444350618.0,0.08833,16.642137439148634,2022-05-14,6.85
16,2022-05-14,0.09284,902479951.0,0.0898,33.853006681514486,2022-05-15,1.66
