,date,predict_close,vol,close,Greed_Fear_Score,target_date,percent
0,2022-04-28,2.27,455091476.0,2.32,-21.55172413793096,2022-04-29,0.0
1,2022-04-29,2.02,526349548.0,2.27,-110.13215859030836,2022-04-30,-2.16
2,2022-04-30,2.11,440925855.0,2.02,44.55445544554448,2022-05-01,-11.01
3,2022-05-01,2.09,354331882.0,2.11,-9.478672985782,2022-05-02,4.46
4,2022-05-02,2.05,367850379.0,2.09,-19.138755980861266,2022-05-03,-0.95
5,2022-05-03,2.23,293444644.0,2.05,87.80487804878058,2022-05-04,-1.91
6,2022-05-04,2.02,430677358.0,2.23,-94.17040358744391,2022-05-05,8.78
7,2022-05-05,2.03,520327637.0,2.02,4.950495049504845,2022-05-06,-9.42
8,2022-05-06,1.98,435841809.0,2.03,-24.630541871921096,2022-05-07,0.5
9,2022-05-07,1.95,353240287.0,1.98,-15.151515151515166,2022-05-08,-2.46
10,2022-05-08,1.7,370937631.0,1.95,-128.20512820512823,2022-05-09,-1.52
11,2022-05-09,1.72,733221897.0,1.7,11.764705882352953,2022-05-10,-12.82
12,2022-05-10,1.4,882669448.0,1.72,-186.046511627907,2022-05-11,1.18
13,2022-05-11,1.27,1050680883.0,1.4,-92.8571428571428,2022-05-12,-18.6
14,2022-05-12,1.33,941531837.0,1.27,47.24409448818902,2022-05-13,-9.29
15,2022-05-13,1.36,480885157.0,1.33,22.556390977443627,2022-05-14,4.72
16,2022-05-14,1.4,346807055.0,1.36,29.411764705882213,2022-05-15,2.26
