,date,predict_close,vol,close,Greed_Fear_Score,target_date,percent
0,2022-04-28,29.16,447937007.0,31.14,-63.58381502890175,2022-04-29,0.0
1,2022-04-29,25.92,438906497.0,29.16,-111.11111111111106,2022-04-30,-6.36
2,2022-04-30,27.69,466379233.0,25.92,68.28703703703702,2022-05-01,-11.11
3,2022-05-01,27.46,478216502.0,27.69,-8.306247742867477,2022-05-02,6.83
4,2022-05-02,26.84,426621553.0,27.46,-22.57829570284053,2022-05-03,-0.83
5,2022-05-03,30.69,357362704.0,26.84,143.44262295081973,2022-05-04,-2.26
6,2022-05-04,28.3,527659266.0,30.69,-77.87552948843272,2022-05-05,14.34
7,2022-05-05,27.94,885336779.0,28.3,-12.720848056537085,2022-05-06,-7.79
8,2022-05-06,26.89,522941578.0,27.94,-37.58052970651398,2022-05-07,-1.27
9,2022-05-07,26.45,384217363.0,26.89,-16.362960208255906,2022-05-08,-3.76
10,2022-05-08,22.98,439272298.0,26.45,-131.1909262759924,2022-05-09,-1.64
11,2022-05-09,23.86,626815685.0,22.98,38.29416884247167,2022-05-10,-13.12
12,2022-05-10,19.78,697471954.0,23.86,-170.997485331098,2022-05-11,3.83
13,2022-05-11,18.95,981666471.0,19.78,-41.96157735085954,2022-05-12,-17.1
14,2022-05-12,20.49,845587349.0,18.95,81.26649076517147,2022-05-13,-4.2
15,2022-05-13,21.14,490694536.0,20.49,31.722791605661403,2022-05-14,8.13
16,2022-05-14,22.12,463784281.0,21.14,46.35761589403975,2022-05-15,3.17
