,date,predict_close,vol,close,Greed_Fear_Score,target_date,percent
0,2022-04-29,1.04,666945892.0,1.14,-87.71929824561391,2022-04-30,0.0
1,2022-04-30,1.1,627531506.0,1.04,57.69230769230774,2022-05-01,-8.77
2,2022-05-01,1.08,764724203.0,1.1,-18.181818181818198,2022-05-02,5.77
3,2022-05-02,1.08,719881928.0,1.08,0.0,2022-05-03,-1.82
4,2022-05-03,1.17,541950449.0,1.08,83.33333333333319,2022-05-04,0.0
5,2022-05-04,1.06,742971942.0,1.17,-94.01709401709392,2022-05-05,8.33
6,2022-05-05,1.04,759187845.0,1.06,-18.867924528301906,2022-05-06,-9.4
7,2022-05-06,1.02,704670768.0,1.04,-19.230769230769244,2022-05-07,-1.89
8,2022-05-07,0.9743,618880005.0,1.02,-44.80392156862741,2022-05-08,-1.92
9,2022-05-08,0.8219,571608859.0,0.9743,-156.4199938417326,2022-05-09,-4.48
10,2022-05-09,0.8904,992729889.0,0.8219,83.34347244190292,2022-05-10,-15.64
11,2022-05-10,0.6663,1574312271.0,0.8904,-251.6846361185984,2022-05-11,8.33
12,2022-05-11,0.6015,1825527072.0,0.6663,-97.25348941918053,2022-05-12,-25.17
13,2022-05-12,0.6675,1212553919.0,0.6015,109.72568578553609,2022-05-13,-9.73
14,2022-05-13,0.6861,920972261.0,0.6675,27.86516853932593,2022-05-14,10.97
15,2022-05-14,0.7376,658971093.0,0.6861,75.06194432298497,2022-05-15,2.79
